;WilliamHill;Bet365;SkyBet;PaddyPower
argentina;9/1;;9/1;NA
australia;500/1;300/1;500/1;NA
belgium;11/1;11/1;10/1;NA
brazil;9/2;;9/2;NA
colombia;33/1;40/1;40/1;NA
costarica;300/1;500/1;750/1;NA
croatia;28/1;33/1;40/1;NA
denmark;100/1;100/1;100/1;NA
egypt;150/1;150/1;200/1;NA
england;16/1;18/1;16/1;NA
france;11/2;;6/1;NA
germany;9/2;;9/2;NA
iceland;250/1;200/1;250/1;NA
iran;500/1;500/1;750/1;NA
japan;250/1;300/1;200/1;NA
mexico;100/1;100/1;100/1;NA
morocco;300/1;500/1;250/1;NA
nigeria;150/1;200/1;250/1;NA
panama;1000/1;1000/1;1000/1;NA
peru;200/1;200/1;250/1;NA
poland;50/1;50/1;66/1;NA
portugal;25/1;25/1;25/1;NA
russia;50/1;40/1;40/1;NA
saudiarabia;1000/1;1000/1;1000/1;NA
senegal;150/1;200/1;150/1;NA
serbia;150/1;200/1;200/1;NA
southkorea;300/1;750/1;250/1;NA
spain;6/1;;6/1;NA
sweden;150/1;150/1;150/1;NA
switzerland;100/1;100/1;100/1;NA
tunisia;750/1;750/1;1000/1;NA
uruguay;25/1;33/1;28/1;NA
